claimH1,stances1,claimCount1,claimH2,stances2,claimCount2,claimH3,stances3,claimCount3
Canadian-Israeli Gill Rosenberg captured by ISIS while fighting with Kurdish forces,(1) hundrednews.com: Against Against Against Against Observing<br/><br/>(2) www.buzzfeed.com: Against Against Against Against Observing<br/><br/>(3) www.cbc.ca: For Observing Observing Observing Observing<br/><br/>(4) www.dailymail.co.uk: Against Against Against Against Observing<br/><br/>(5) www.haaretz.com: Against Against Against Against Observing<br/><br/>(6) www.haaretz.com: Against Against For Observing Observing<br/><br/>(7) www.huffingtonpost.com: Against For Observing Observing Observing<br/><br/>(8) www.huffingtonpost.com: Against Against Against Against Observing<br/><br/>(9) www.ibtimes.com: Against For For For For<br/><br/>(10) www.ibtimes.com: Against For For For Observing<br/><br/>(11) www.independent.co.uk: Against Against Against Against Observing<br/><br/>(12) www.israelnationalnews.com: Against Against Against Observing Observing<br/><br/>(13) www.jewishjournal.com: Observing Observing Observing Observing Observing<br/><br/>(14) www.jpost.com: For For For Observing Observing<br/><br/>(15) www.liveleak.com: Against Against Against Against Observing<br/><br/>(16) www.liveleak.com: For For For Observing Observing<br/><br/>(17) www.sunnewsnetwork.ca: Against For Observing Observing Observing<br/><br/>(18) www.theglobeandmail.com: Against Observing Observing Observing Observing<br/><br/>(19) www.theguardian.com: Against For For For Observing<br/><br/>(20) www.timesofisrael.com: Against For For Observing Observing<br/><br/>(21) www.upi.com: Against Against For Observing Observing<br/><br/>(22) www.ynetnews.com: Against For For For Observing<br/><br/>,91.0,The U.S. killed Ahmed Abdi Godane in an airstrike,(1) af.reuters.com: Against For For Observing Observing<br/><br/>(2) articles.economictimes.indiatimes.com: Against For For Observing Observing<br/><br/>(3) nypost.com: Against For For Observing Observing<br/><br/>(4) nypost.com: For For Observing Observing Observing<br/><br/>(5) www.abc.net.au: For For For Observing Observing<br/><br/>(6) www.bloomberg.com: For For For For Observing<br/><br/>(7) www.cbsnews.com: For For For Observing Observing<br/><br/>(8) www.dailymail.co.uk: Against For For Observing Observing<br/><br/>(9) www.dailymail.co.uk: For For For For Observing<br/><br/>(10) www.nbcnews.com: For For For For For<br/><br/>(11) www.nydailynews.com: For For For For Observing<br/><br/>(12) www.nytimes.com: For For For Observing Observing<br/><br/>(13) www.reuters.com: Against For For Observing Observing<br/><br/>(14) www.theguardian.com: For For For Observing Observing<br/><br/>(15) www.usatoday.com: For For For Observing Observing<br/><br/>(16) www.washingtonpost.com: For For For For For<br/><br/>,92.0,"The gold Apple Watch Edition will cost 1,200",(1) techcrunch.com: Against For For For Observing<br/><br/>(2) www.techtimes.com: For Observing Observing Observing Observing<br/><br/>(3) www.ubergizmo.com: For For For Observing Observing<br/><br/>,93.0
"The gold Apple Watch edition will cost under 4,500 USD",(1) 9to5mac.com: Against Observing Observing Observing Observing<br/><br/>,94.0,"The gold Apple Watch Edition will cost 9,999 USD",(1) www.ibtimes.co.uk: Against Observing Observing Observing Observing<br/><br/>,95.0,"The gold Apple Watch Edition will cost 4,999 USD",(1) www.cnet.com: Against For Observing Observing Observing<br/><br/>(2) www.cultofmac.com: Against For For For Observing<br/><br/>(3) www.techtimes.com: Against For For Observing Observing<br/><br/>(4) www.ubergizmo.com: Against For For Observing Observing<br/><br/>,96.0
Man Sets College On Fire With Marriage Proposal,(1) nypost.com: Against Against Against For For<br/><br/>(2) www.buzzfeed.com: Against For For Observing Observing<br/><br/>(3) www.express.co.uk: Against Against For For Observing<br/><br/>(4) www.mirror.co.uk: Against Against For For Observing<br/><br/>,97.0,The group behind the Sony hack sent a message to company execs praising their decision to pull The Interview,(1) money.cnn.com: Against For Observing Observing Observing<br/><br/>(2) www.businessinsider.com: Against Against Against For Observing<br/><br/>(3) www.dailymail.co.uk: Against For For For Observing<br/><br/>(4) www.gizmodo.in: Against For For For For<br/><br/>(5) www.mediabistro.com: Against For For For Observing<br/><br/>(6) www.thedailybeast.com: For For For For Observing<br/><br/>,98.0,"Protestors in Hong Kong adopted Hands up, don't shoot from Ferguson",(1) colorlines.com: Observing Observing Observing Observing Observing<br/><br/>(2) mic.com: Against For For For Observing<br/><br/>(3) nymag.com: Against For For For Observing<br/><br/>(4) qz.com: Against Against For For For<br/><br/>(5) www.csmonitor.com: Against Against Observing Observing Observing<br/><br/>(6) www.dailymail.co.uk: Against For For For Observing<br/><br/>(7) www.msnbc.com: Against For For For Observing<br/><br/>(8) www.theatlantic.com: Against For For Observing Observing<br/><br/>(9) www.theblaze.com: Against Against For Observing Observing<br/><br/>(10) www.vox.com: Against For For For For<br/><br/>(11) www.washingtontimes.com: Against For For For Observing<br/><br/>,99.0
A passenger at Dulles airport wore a hazmat suit,(1) dailycaller.com: Against For For For Observing<br/><br/>(2) dcist.com: Against For For Observing Observing<br/><br/>(3) news.yahoo.com: For For For Observing Observing<br/><br/>(4) www.aol.com: For For For Observing Observing<br/><br/>(5) www.zerohedge.com: For For For Observing Observing<br/><br/>,100.0,ISIS hostage Alan Henning found innocent by Sharia court,(1) www.buzzfeed.com: For Observing Observing Observing Observing<br/><br/>(2) www.middleeasteye.net: For For For For Observing<br/><br/>(3) www.nbcnews.com: For Observing Observing Observing Observing<br/><br/>,101.0,A N.Y. high schooler earned 72 million in the stock market,(1) factually.gizmodo.com: Against Against Against Against For<br/><br/>(2) gawker.com: For For For For For<br/><br/>(3) nypost.com: For For For Observing Observing<br/><br/>(4) observer.com: Against Against Against Against For<br/><br/>(5) time.com: Against Against Observing Observing Observing<br/><br/>(6) www.businessinsider.in: Against Against Observing Observing Observing<br/><br/>(7) www.cnbc.com: Against Against Against Against Against<br/><br/>(8) www.dailymail.co.uk: Against For For For Observing<br/><br/>(9) www.inquisitr.com: For For For For Observing<br/><br/>(10) www.mtv.com: Against For Observing Observing Observing<br/><br/>(11) www.people.com: For For For For Observing<br/><br/>(12) www.theepochtimes.com: Against Against Against Against For<br/><br/>(13) www.vanityfair.com: Against For For For Observing<br/><br/>,102.0
YouTube star Josh Paler Lin gave a homeless man 100 and filmed how he spent it without the man's knowledge,(1) ca.eonline.com: For For For For Observing<br/><br/>(2) gawker.com: Against Against Against Against Against<br/><br/>(3) losangeles.cbslocal.com: Against Against Against Observing Observing<br/><br/>(4) news.distractify.com: For For For For Observing<br/><br/>(5) perezhilton.com: For For For For For<br/><br/>(6) perezhilton.com: For Observing Observing Observing Observing<br/><br/>(7) www.dailymail.co.uk: For For For Observing Observing<br/><br/>(8) www.dailymail.co.uk: For For For For For<br/><br/>(9) www.huffingtonpost.com: For For For For For<br/><br/>(10) www.huffingtonpost.co.uk: For For For For For<br/><br/>(11) www.inquisitr.com: For For For For Observing<br/><br/>(12) www.inquisitr.com: Against Against For For Observing<br/><br/>(13) www.latimes.com: For For For Observing Observing<br/><br/>(14) www.nydailynews.com: For For For For For<br/><br/>(15) www.people.com: For For For For Observing<br/><br/>(16) www.today.com: For For For Observing Observing<br/><br/>(17) www.viralnova.com: Against Against For For Observing<br/><br/>(18) www.vocativ.com: Observing Observing Observing Observing Observing<br/><br/>,103.0,Claim Hewlett-Packard will split itself into two separate companies,(1) online.wsj.com: For For Observing Observing Observing<br/><br/>(2) online.wsj.com: Against For For For Observing<br/><br/>(3) gigaom.com: For For For For For<br/><br/>(4) gigaom.com: Against For For For Observing<br/><br/>(5) venturebeat.com: For For For For Observing<br/><br/>(6) venturebeat.com: For For For For For<br/><br/>(7) www.bbc.com: For For For For For<br/><br/>(8) www.bizjournals.com: For For For For Observing<br/><br/>(9) www.businessinsider.com: For For For For For<br/><br/>(10) www.businessinsider.com: For For For Observing Observing<br/><br/>(11) www.cnbc.com: For For For For Observing<br/><br/>(12) www.cnbc.com: For For For Observing Observing<br/><br/>(13) www.cnet.com: For For For For Observing<br/><br/>(14) www.dailymail.co.uk: Against For For For For<br/><br/>(15) www.dailymail.co.uk: For For For For Observing<br/><br/>(16) www.dailymail.co.uk: For For For For Observing<br/><br/>(17) www.engadget.com: For For For For For<br/><br/>(18) www.huffingtonpost.com: For For For For For<br/><br/>(19) www.theguardian.com: Observing Observing Observing Observing Observing<br/><br/>(20) www.theverge.com: For For For For Observing<br/><br/>(21) www.theverge.com: For For For For For<br/><br/>,104.0,Playboy founder Hugh Hefner is dead,(1) hollywoodlife.com: Observing Observing Observing Observing Observing<br/><br/>(2) nbctoday.co: For For For For For<br/><br/>(3) rumorfix.com: Against Against Against Against Observing<br/><br/>(4) www.dailymail.co.uk: Against Against Against Against For<br/><br/>(5) www.independent.co.uk: Against Against Against For Observing<br/><br/>(6) www.inquisitr.com: Against Against Against For For<br/><br/>,105.0
"There will be 100,000 or more Apple Watch Apps in the AppStore by April 10",(1) gadgets.ndtv.com: For For For For Observing<br/><br/>(2) www.cultofmac.com: For Observing Observing Observing Observing<br/><br/>(3) www.wareable.com: For For For For For<br/><br/>,106.0,A crowd chopped off a man's penis after he was caught trying to rape a woman,(1) metro.co.uk: For Observing Observing Observing Observing<br/><br/>(2) www.dailymail.co.uk: For For For For For<br/><br/>(3) www.dailystar.co.uk: Against For For For For<br/><br/>(4) www.deccanchronicle.com: Against For For For For<br/><br/>(5) www.express.co.uk: For For For For Observing<br/><br/>(6) www.huffingtonpost.co.uk: Against For For For For<br/><br/>(7) www.ibtimes.co.in: For For For For Observing<br/><br/>(8) www.ibtimes.co.uk: Against For For For For<br/><br/>(9) www.independent.co.uk: For For For For Observing<br/><br/>(10) www.indiatimes.com: Against For For For Observing<br/><br/>(11) www.kaynaija.com: Against For For For For<br/><br/>(12) www.mirror.co.uk: Against For For For For<br/><br/>(13) www.oneindia.com: For For For For For<br/><br/>(14) www.theweek.co.uk: Against For For For For<br/><br/>(15) ynaija.com: For For For For For<br/><br/>,107.0,Apple will release iOS 8.2 on March 9,(1) www.cnet.com: For For Observing Observing Observing<br/><br/>(2) www.idownloadblog.com: For For For For For<br/><br/>,108.0
Reset All Settings option in iOS 8 deletes iWork files,(1) appleinsider.com: Against For For For For<br/><br/>(2) bgr.com: For For For For For<br/><br/>(3) mashable.com: Against For For For For<br/><br/>(4) timesofindia.indiatimes.com: For For For For Observing<br/><br/>(5) www.businessinsider.com: For For For For For<br/><br/>(6) www.cnet.com: Against For For For Observing<br/><br/>(7) www.cultofmac.com: Against Against For For Observing<br/><br/>(8) www.macrumors.com: For For For For For<br/><br/>(9) www.theverge.com: For For For Observing Observing<br/><br/>(10) www.tomsguide.com: Against For For Observing Observing<br/><br/>,109.0,Apple added additional reinforcement to its iPhone 6 Plus to ensure it doesn't bend,(1) 9to5mac.com: Against Against Against For For<br/><br/>(2) bgr.com: For Observing Observing Observing Observing<br/><br/>(3) news.yahoo.com: For Observing Observing Observing Observing<br/><br/>(4) www.ubergizmo.com: Against For For For For<br/><br/>,110.0,The iPhone 6s will have a dual-lens camera,(1) appleinsider.com: Against For Observing Observing Observing<br/><br/>(2) money.udn.com: Against Observing Observing Observing Observing<br/><br/>(3) timesofindia.indiatimes.com: For Observing Observing Observing Observing<br/><br/>(4) www.businessinsider.com: For For For Observing Observing<br/><br/>(5) www.cultofmac.com: Against For For Observing Observing<br/><br/>(6) www.ibtimes.com: Against For For Observing Observing<br/><br/>(7) www.macrumors.com: Against Against Observing Observing Observing<br/><br/>(8) www.slashgear.com: Against For Observing Observing Observing<br/><br/>(9) www.technobuffalo.com: For For For Observing Observing<br/><br/>(10) www.techtimes.com: Against Observing Observing Observing Observing<br/><br/>,111.0
The iPhone 6 pulls out facial hair when being used,(1) 9to5mac.com: For For For For For<br/><br/>(2) guardianlv.com: Against For For For For<br/><br/>(3) mashable.com: Against Against Against Against Against<br/><br/>(4) metro.co.uk: For For For For Observing<br/><br/>(5) ca.shine.yahoo.com: Against Observing Observing Observing Observing<br/><br/>(6) www.appy-geek.com: For For For For Observing<br/><br/>(7) www.businessinsider.com: Against For For For For<br/><br/>(8) www.cbc.ca: Against For For For For<br/><br/>(9) www.cnbc.com: Against For For For For<br/><br/>(10) www.dailymail.co.uk: Against For For For For<br/><br/>(11) www.independent.co.uk: For For For For For<br/><br/>(12) www.reuters.com: For For Observing Observing Observing<br/><br/>(13) www.today.com: Against For For For For<br/><br/>(14) www.usatoday.com: For For For For Observing<br/><br/>,112.0,The Iraqi army shot down two British planes that were delivering weapons to ISIS,(1) axisoflogic.com: For For For For Observing<br/><br/>(2) beforeitsnews.com: For For Observing Observing Observing<br/><br/>(3) english.farsnews.com: For For For For For<br/><br/>(4) www.globalresearch.ca: For For For For For<br/><br/>(5) www.infowars.com: Against For For For For<br/><br/>(6) www.veteranstoday.com: For For For For For<br/><br/>(7) yournewswire.com: For For For For For<br/><br/>,113.0,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,(1) bigstory.ap.org: For For For For For<br/><br/>(2) english.alarabiya.net: For For For For For<br/><br/>(3) english.alarabiya.net: Against For For For For<br/><br/>(4) mashable.com: For For For Observing Observing<br/><br/>(5) reason.com: For For Observing Observing Observing<br/><br/>(6) news.vice.com: For For For Observing Observing<br/><br/>(7) www.businessinsider.com: For For For For Observing<br/><br/>(8) www.cbsnews.com: For For For For Observing<br/><br/>(9) www.cbsnews.com: For For For For For<br/><br/>(10) www.dailymail.co.uk: For For For For For<br/><br/>(11) www.dailymail.co.uk: Against For For For For<br/><br/>(12) www.foxnews.com: For For For Observing Observing<br/><br/>(13) www.ibtimes.com: For For For Observing Observing<br/><br/>(14) www.ibtimes.co.uk: For For For For Observing<br/><br/>(15) www.nytimes.com: Against For For For For<br/><br/>(16) www.nytimes.com: For For For For Observing<br/><br/>(17) www.theatlantic.com: For For For For Observing<br/><br/>(18) www.theatlantic.com: Observing Observing Observing Observing Observing<br/><br/>(19) www.thedailybeast.com: For For For For For<br/><br/>(20) www.thedailybeast.com: For For For For Observing<br/><br/>(21) www.theguardian.com: For For For For For<br/><br/>(22) www.washingtonpost.com: Against For For For Observing<br/><br/>(23) www.washingtonpost.com: For For For For For<br/><br/>,114.0
ISIS is a mile away from Baghdad,(1) abc7news.com: Against For For For Observing<br/><br/>(2) www.breitbart.com: For For For For For<br/><br/>(3) www.dailymail.co.uk: Against For For For Observing<br/><br/>(4) www.ibtimes.com: For For For Observing Observing<br/><br/>(5) www.independent.co.uk: Against For For For For<br/><br/>(6) www.inquisitr.com: For For For For Observing<br/><br/>(7) www.israelnationalnews.com: Against For For For Observing<br/><br/>(8) www.mcclatchydc.com: For For For Observing Observing<br/><br/>(9) www.nydailynews.com: For For For For Observing<br/><br/>(10) www.thedailystar.net: For For For For Observing<br/><br/>,115.0,ISIS used chemical weapons in Kobane,(1) www.albawaba.com: For For For For For<br/><br/>(2) www.dailymail.co.uk: For Observing Observing Observing Observing<br/><br/>(3) www.ibtimes.com: For For For Observing Observing<br/><br/>(4) www.kurdishquestion.com: For For For For Observing<br/><br/>(5) www.theguardian.com: For For For For Observing<br/><br/>,116.0,American hostage Kayla Mueller was killed in a coalition bombing campaign against ISIS,(1) abcnews.go.com: For For For For For<br/><br/>(2) dailystar.com.lb: For For For For Observing<br/><br/>(3) news.nationalpost.com: For For For For Observing<br/><br/>(4) www.cbc.ca: For For For For Observing<br/><br/>(5) www.dailymail.co.uk: Against For For For Observing<br/><br/>(6) www.ft.com: For For For Observing Observing<br/><br/>(7) www.nbcnews.com: For For Observing Observing Observing<br/><br/>(8) www.nytimes.com: For For For For For<br/><br/>(9) www.theguardian.com: For For For Observing Observing<br/><br/>,117.0
ISIS beheaded British aid worker Daivd Haines,(1) ent.siteintelgroup.com: Against For For For For<br/><br/>(2) news.msn.co.nz: Against Observing Observing Observing Observing<br/><br/>(3) news.sky.com: Against For For For For<br/><br/>(4) www.dailysabah.com: Against Against For For For<br/><br/>(5) www.foxnews.com: For For For For For<br/><br/>(6) www.france24.com: Against For For Observing Observing<br/><br/>(7) www.ibtimes.com: For For For For For<br/><br/>(8) www.msnbc.com: Against For For For For<br/><br/>(9) www.nbcnews.com: For For Observing Observing Observing<br/><br/>(10) www.npr.org: For For For For For<br/><br/>(11) www.nytimes.com: Against For For For Observing<br/><br/>(12) www.telegraph.co.uk: For For For For Observing<br/><br/>(13) www.theguardian.com: For For For For Observing<br/><br/>(14) www.wjla.com: For For For Observing Observing<br/><br/>(15) yournewswire.com: For Observing Observing Observing Observing<br/><br/>(16) zeenews.india.com: Against For For For For<br/><br/>,118.0,ISIS fighters are being trained to fly three captured fighter jets,(1) freebeacon.com: For For For Observing Observing<br/><br/>(2) online.wsj.com: For For For Observing Observing<br/><br/>(3) www.bbc.com: For For For For Observing<br/><br/>(4) www.cnn.com: Against Against For For For<br/><br/>(5) www.dailymail.co.uk: Observing Observing Observing Observing Observing<br/><br/>(6) www.huffingtonpost.com: For For For For Observing<br/><br/>(7) www.huffingtonpost.co.uk: For For Observing Observing Observing<br/><br/>(8) www.ibtimes.co.uk: For For For For Observing<br/><br/>(9) www.news.com.au: For For For Observing Observing<br/><br/>(10) www.reuters.com: For For For Observing Observing<br/><br/>(11) www.theglobeandmail.com: For For For Observing Observing<br/><br/>(12) www.theguardian.com: For For For Observing Observing<br/><br/>(13) www.timesofisrael.com: For For For Observing Observing<br/><br/>,119.0,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,(1) abcnews.go.com: Against Against For For For<br/><br/>(2) insider.foxnews.com: For For For Observing Observing<br/><br/>(3) mediamatters.org: Against Against Against Against For<br/><br/>(4) washington.cbslocal.com: For For For Observing Observing<br/><br/>(5) www.aol.com: Against For For For For<br/><br/>(6) www.buzzfeed.com: For For For For Observing<br/><br/>(7) www.buzzfeed.com: For For For For Observing<br/><br/>(8) www.buzzfeed.com: Against For Observing Observing Observing<br/><br/>(9) www.cbsnews.com: Against Against Against Against Observing<br/><br/>(10) www.dailymail.co.uk: Against Against Against Against For<br/><br/>(11) www.foxnews.com: For For For For Observing<br/><br/>(12) www.huffingtonpost.com: For For For Observing Observing<br/><br/>(13) www.huffingtonpost.com: Against Against For Observing Observing<br/><br/>(14) www.ibtimes.com: Against Against Against For Observing<br/><br/>(15) www.mediaite.com: Against Against Against Against For<br/><br/>(16) www.nationalreview.com: For Observing Observing Observing Observing<br/><br/>(17) www.nationalreview.com: For Observing Observing Observing Observing<br/><br/>(18) www.newrepublic.com: Against Against Against Against For<br/><br/>(19) www.newsmax.com: For For For For For<br/><br/>(20) www.newsmax.com: For For For For Observing<br/><br/>(21) www.nydailynews.com: For For For For For<br/><br/>(22) www.politico.com: Against Against Against Against For<br/><br/>(23) www.politifact.com: Against For Observing Observing Observing<br/><br/>(24) www.theblaze.com: For For For For For<br/><br/>(25) www.thegatewaypundit.com: For For For For Observing<br/><br/>(26) www.upi.com: Against Against For For For<br/><br/>,120.0
ISIS is harvesting and selling human organs to help fund its operations,(1) antiviral.gawker.com: For For Observing Observing Observing<br/><br/>(2) rt.com: Against For For For For<br/><br/>(3) washington.cbslocal.com: Against For For For For<br/><br/>(4) www.al-monitor.com: For For For For Observing<br/><br/>(5) www.cbsnews.com: Against For For For Observing<br/><br/>(6) www.dailymail.co.uk: For For For For Observing<br/><br/>(7) www.dailymail.co.uk: For For For For Observing<br/><br/>(8) www.express.co.uk: For For For For For<br/><br/>(9) www.foxnews.com: For For For For Observing<br/><br/>(10) www.foxnews.com: For For For Observing Observing<br/><br/>(11) www.ibtimes.com: For For For Observing Observing<br/><br/>(12) www.independent.co.uk: For For For For Observing<br/><br/>(13) www.jewishpress.com: For For For For For<br/><br/>(14) www.news.com.au: For For For Observing Observing<br/><br/>(15) www.nydailynews.com: For For For Observing Observing<br/><br/>,121.0,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,(1) basnews.com: Against Against Against Against For<br/><br/>(2) blogs.montrealgazette.com: For Observing Observing Observing Observing<br/><br/>(3) jpupdates.com: For For For For For<br/><br/>(4) mawtani.al-shorfa.com: For For For For For<br/><br/>(5) plus.google.com: Against Against For For Observing<br/><br/>(6) townhall.com: Against Against For Observing Observing<br/><br/>(7) washingtonexaminer.com: Against Against For Observing Observing<br/><br/>(8) www.abna.ir: For For For For For<br/><br/>(9) www.dailytimes.com.pk: For For For For Observing<br/><br/>(10) www.inquisitr.com: For For For Observing Observing<br/><br/>(11) www.inquisitr.com: For For For Observing Observing<br/><br/>(12) www.iraqinews.com: For For For Observing Observing<br/><br/>(13) www.thedailybeast.com: Against Against Against Against Against<br/><br/>(14) www.timesofisrael.com: Against Observing Observing Observing Observing<br/><br/>(15) www.timesofisrael.com: Against For For For Observing<br/><br/>,122.0,ISIS beheaded journalist James Wright Foley,(1) abcnews.go.com: For For For For Observing<br/><br/>(2) bigstory.ap.org: Against For For Observing Observing<br/><br/>(3) cir.ca: For For For For Observing<br/><br/>(4) gawker.com: For For For For For<br/><br/>(5) globalvoicesonline.org: For For For For For<br/><br/>(6) mashable.com: For For For For Observing<br/><br/>(7) news.nationalpost.com: For For For For Observing<br/><br/>(8) nymag.com: For For For Observing Observing<br/><br/>(9) nypost.com: For For For For Observing<br/><br/>(10) pjmedia.com: For For For For For<br/><br/>(11) rt.com: For For For Observing Observing<br/><br/>(12) news.vice.com: For For For For Observing<br/><br/>(13) time.com: For For For For For<br/><br/>(14) twitter.com: For For For For For<br/><br/>(15) twitter.com: For For For For For<br/><br/>(16) twitter.com: For For For For For<br/><br/>(17) www.facebook.com: For Observing Observing Observing Observing<br/><br/>(18) www.vocativ.com: For For For For For<br/><br/>(19) townhall.com: For For For For For<br/><br/>(20) twitchy.com: For For For For Observing<br/><br/>(21) www.breitbart.com: For For For For For<br/><br/>(22) www.buzzfeed.com: For For For Observing Observing<br/><br/>(23) www.cnn.com: Against For Observing Observing Observing<br/><br/>(24) www.dailymail.co.uk: For For Observing Observing Observing<br/><br/>(25) www.dailymail.co.uk: For For For Observing Observing<br/><br/>(26) www.deathandtaxesmag.com: For For For For For<br/><br/>(27) www.express.co.uk: For For For For Observing<br/><br/>(28) www.ft.com: For For For Observing Observing<br/><br/>(29) www.huffingtonpost.com: For For For For Observing<br/><br/>(30) www.huffingtonpost.com: Against Against Against For Observing<br/><br/>(31) www.huffingtonpost.com: For For For Observing Observing<br/><br/>(32) www.independent.co.uk: For For For For Observing<br/><br/>(33) www.mediaite.com: For For For Observing Observing<br/><br/>(34) www.nbcnews.com: For For For For For<br/><br/>(35) www.news.com.au: For For For For For<br/><br/>(36) www.npr.org: For For For For Observing<br/><br/>(37) www.nydailynews.com: For For For For Observing<br/><br/>(38) www.nytimes.com: For For For For Observing<br/><br/>(39) www.nytimes.com: Against For For Observing Observing<br/><br/>(40) www.politico.com: For For For For Observing<br/><br/>(41) www.salon.com: For For For Observing Observing<br/><br/>(42) www.slate.com: For For Observing Observing Observing<br/><br/>(43) www.thedailybeast.com: For For For Observing Observing<br/><br/>(44) www.theepochtimes.com: For For For For For<br/><br/>(45) www.theglobeandmail.com: For For For For Observing<br/><br/>(46) www.theguardian.com: Against For For For For<br/><br/>(47) www.theguardian.com: For For For For For<br/><br/>(48) www.thewire.com: Against For For For For<br/><br/>(49) www.washingtonpost.com: For For For For For<br/><br/>(50) www.washingtonpost.com: Against Against For For For<br/><br/>,123.0
ISIS gave a Kurdish woman a meal and told her she'd eaten her own son,(1) metro.co.uk: For For For For For<br/><br/>(2) nypost.com: For For For For For<br/><br/>(3) www.breitbart.com: For For For For For<br/><br/>(4) www.dailymail.co.uk: For For For For For<br/><br/>(5) www.express.co.uk: For For For For For<br/><br/>(6) www.mirror.co.uk: For For For For Observing<br/><br/>(7) www.mirror.co.uk: For For For For For<br/><br/>,124.0,ISIS is dropping bombs containing live scorpions,(1) au.ibtimes.com: For For For For For<br/><br/>(2) www.business-standard.com: against for for for for<br/><br/>(3) www.dailymail.co.uk: for for for for observing<br/><br/>(4) www.dailystar.co.uk: for for for observing observing<br/><br/>(5) www.express.co.uk: against for for observing observing<br/><br/>(6) www.mirror.co.uk: against for for for observing<br/><br/>(7) www.zerohedge.com: for for observing observing observing<br/><br/>,125.0,ISIS is trying to sell the remains of James Foley,(1) gawker.com: for for observing observing observing<br/><br/>(2) nypost.com: for for observing observing observing<br/><br/>(3) www.businessinsider.com: for for observing observing observing<br/><br/>(4) www.buzzfeed.com: for for for observing observing<br/><br/>(5) www.dailymail.co.uk: for for for observing observing<br/><br/>(6) www.express.co.uk: against for for for observing<br/><br/>(7) www.ibtimes.co.uk: for for observing observing observing<br/><br/>(8) www.mirror.co.uk: for for for observing observing<br/><br/>(9) www.news.com.au: against for observing observing observing<br/><br/>(10) www.theblaze.com: for for for for observing<br/><br/>(11) www.timesofisrael.com: for for for observing observing<br/><br/>(12) www.washingtontimes.com: against for for for for<br/><br/>,126.0
An ISIS treasurer stole money from the organization and fled,(1) www.almasryalyoum.com: for observing observing observing observing<br/><br/>(2) www.businessinsider.com: for for observing observing observing<br/><br/>(3) www.ibtimes.co.uk: for for for observing observing<br/><br/>(4) www.opposingviews.com: for for observing observing observing<br/><br/>,127.0,Israel caused flooding in Gaza by opening river dams,(1) news.xinhuanet.com: for for for for observing<br/><br/>(2) rt.com: for observing observing observing observing<br/><br/>(3) www.commentarymagazine.com: against against observing observing observing<br/><br/>(4) www.albawaba.com: for for for for observing<br/><br/>(5) www.aljazeera.com: against against observing observing observing<br/><br/>(6) www.maannews.com: against for for for observing<br/><br/>,128.0,Italian fishermen caught a 280-pound catfish,(1) ftw.usatoday.com: for for for for for<br/><br/>(2) milano.corriere.it: for for observing observing observing<br/><br/>(3) www.dailymail.co.uk: for for for observing observing<br/><br/>(4) www.grindtv.com: against for observing observing observing<br/><br/>(5) www.independent.co.uk: for for for for observing<br/><br/>(6) www.inquisitr.com: for for for for observing<br/><br/>(7) www.mirror.co.uk: for for for for observing<br/><br/>(8) www.telegraph.co.uk: for for for observing observing<br/><br/>(9) www.theblaze.com: for for observing observing observing<br/><br/>,129.0
